,t,v
780,0.039,-140.0
781,0.03905,-140.0
782,0.0391,-140.0
783,0.03915,-140.0
784,0.0392,-140.0
785,0.03925,-140.0
786,0.0393,-140.0
787,0.03935,-140.0
788,0.0394,-140.0
789,0.03945,-140.0
790,0.0395,-140.0
791,0.03955,-140.0
792,0.0396,-140.0
793,0.03965,-140.0
794,0.0397,-140.0
795,0.03975,-140.0
796,0.0398,-140.0
797,0.03985,-140.0
798,0.0399,-140.0
799,0.03995,-140.0
800,0.04,-140.0
801,0.04005,-140.0
802,0.0401,-140.0
803,0.04015,-140.0
804,0.0402,-140.0
805,0.04025,-140.0
806,0.0403,-140.0
807,0.04035,-140.0
808,0.0404,-140.0
809,0.04045,-140.0
810,0.0405,-140.0
811,0.04055,-140.0
812,0.0406,-140.0
813,0.04065,-140.0
814,0.0407,-140.0
815,0.04075,-140.0
816,0.0408,-140.0
817,0.04085,-140.0
818,0.0409,-140.0
819,0.04095,-140.0
820,0.041,-140.0
821,0.04105,-140.0
822,0.0411,-140.0
823,0.04115,-140.0
824,0.0412,-140.0
825,0.04125,-140.0
826,0.0413,-140.0
827,0.04135,-140.0
828,0.0414,-140.0
829,0.04145,-140.0
830,0.0415,-140.0
831,0.04155,-140.0
832,0.0416,-140.0
833,0.04165,-140.0
834,0.0417,-140.0
835,0.04175,-140.0
836,0.0418,-140.0
837,0.04185,-140.0
838,0.0419,-140.0
839,0.04195,-140.0
840,0.042,-140.0
841,0.04205,-140.0
842,0.0421,-140.0
843,0.04215,-140.0
844,0.0422,-140.0
845,0.04225,-140.0
846,0.0423,-140.0
847,0.04235,-140.0
848,0.0424,-140.0
849,0.04245,-140.0
850,0.0425,-140.0
851,0.04255,-140.0
852,0.0426,-140.0
853,0.04265,-140.0
854,0.0427,-140.0
855,0.04275,-140.0
856,0.0428,-140.0
857,0.04285,-140.0
858,0.0429,-140.0
859,0.04295,-140.0
860,0.043,-140.0
861,0.04305,-140.0
862,0.0431,-140.0
863,0.04315,-140.0
864,0.0432,-140.0
865,0.04325,-140.0
866,0.0433,-140.0
867,0.04335,-140.0
868,0.0434,-140.0
869,0.04345,-140.0
870,0.0435,-140.0
871,0.04355,-140.0
872,0.0436,-140.0
873,0.04365,-140.0
874,0.0437,-140.0
875,0.04375,-140.0
876,0.0438,-140.0
877,0.04385,-140.0
878,0.0439,-140.0
879,0.04395,-140.0
880,0.044,-140.0
881,0.04405,-140.0
882,0.0441,-140.0
883,0.04415,-140.0
884,0.0442,-140.0
885,0.04425,-140.0
